EVENT,BOUT,URL,EVENT_NUMBER,MAIN_FIGHTER_1,MAIN_FIGHTER_2
UFC Fight Night: Dariush vs. Tsarukyan,Drakkar Klose vs. Joe Solecki,http://ufcstats.com/fight-details/d0602cdc04d2c159,,Drakkar Klose,Joe Solecki
UFC Fight Night: Dariush vs. Tsarukyan,Rodolfo Bellato vs. Ihor Potieria,http://ufcstats.com/fight-details/0dc2fc8d39e226a3,,Rodolfo Bellato,Ihor Potieria
UFC Fight Night: Dariush vs. Tsarukyan,Jared Gooden vs. Wellington Turman,http://ufcstats.com/fight-details/32813f5f46f045e8,,Jared Gooden,Wellington Turman
UFC Fight Night: Dariush vs. Tsarukyan,Veronica Hardy vs. Jamey-Lyn Horth,http://ufcstats.com/fight-details/d0ac2cc5c57c4e66,,Veronica Hardy,Jamey-Lyn Horth
UFC Fight Night: Allen vs. Craig,Brendan Allen vs. Paul Craig,http://ufcstats.com/fight-details/7990b6716a53b2cd,,Brendan Allen,Paul Craig
UFC Fight Night: Allen vs. Craig,Michael Morales vs. Jake Matthews,http://ufcstats.com/fight-details/73ebbfb998edc1f1,,Michael Morales,Jake Matthews
UFC Fight Night: Allen vs. Craig,Chase Hooper vs. Jordan Leavitt,http://ufcstats.com/fight-details/5be63144ac46f97e,,Chase Hooper,Jordan Leavitt
UFC Fight Night: Allen vs. Craig,Payton Talbott vs. Nick Aguirre,http://ufcstats.com/fight-details/2ae243f518948794,,Payton Talbott,Nick Aguirre
UFC Fight Night: Allen vs. Craig,Amanda Ribas vs. Luana Pinheiro,http://ufcstats.com/fight-details/bd4d2522cb0d1a23,,Amanda Ribas,Luana Pinheiro
UFC Fight Night: Allen vs. Craig,Myktybek Orolbai vs. Uros Medic,http://ufcstats.com/fight-details/b210b99d9c1c9196,,Myktybek Orolbai,Uros Medic
UFC Fight Night: Allen vs. Craig,Joanderson Brito vs. Jonathan Pearce,http://ufcstats.com/fight-details/62b64802ea49e2fd,,Joanderson Brito,Jonathan Pearce
UFC Fight Night: Allen vs. Craig,Jose Johnson vs. Chad Anheliger,http://ufcstats.com/fight-details/c1aef0f60a5b62e3,,Jose Johnson,Chad Anheliger
UFC Fight Night: Allen vs. Craig,Christian Leroy Duncan vs. Denis Tiuliulin,http://ufcstats.com/fight-details/16109688429c09de,,Christian Leroy Duncan,Denis Tiuliulin
UFC Fight Night: Allen vs. Craig,Mick Parkin vs. Caio Machado,http://ufcstats.com/fight-details/36f10b949b935b8c,,Mick Parkin,Caio Machado
UFC Fight Night: Allen vs. Craig,Jeka Saragih vs. Lucas Alexander,http://ufcstats.com/fight-details/f0fe73e650b746f2,,Jeka Saragih,Lucas Alexander
UFC Fight Night: Allen vs. Craig,Ailin Perez vs. Lucie Pudilova,http://ufcstats.com/fight-details/6997693d552600dd,,Ailin Perez,Lucie Pudilova
UFC Fight Night: Allen vs. Craig,Trey Ogden vs. Nikolas Motta,http://ufcstats.com/fight-details/6e5a3d6b6ed84ac3,,Trey Ogden,Nikolas Motta
UFC Fight Night: Allen vs. Craig,Rafael Estevam vs. Charles Johnson,http://ufcstats.com/fight-details/9abf0b60a44a82d1,,Rafael Estevam,Charles Johnson
UFC 295: Prochazka vs. Pereira,Alex Pereira vs. Jiri Prochazka,http://ufcstats.com/fight-details/b1f2ec122beda7a5,295,Alex Pereira,Jiri Prochazka
UFC 295: Prochazka vs. Pereira,Tom Aspinall vs. Sergei Pavlovich,http://ufcstats.com/fight-details/db49619221b282af,295,Tom Aspinall,Sergei Pavlovich
UFC 295: Prochazka vs. Pereira,Jessica Andrade vs. Mackenzie Dern,http://ufcstats.com/fight-details/6fd67582d8adb1c7,295,Jessica Andrade,Mackenzie Dern
UFC 295: Prochazka vs. Pereira,Benoit Saint Denis vs. Matt Frevola,http://ufcstats.com/fight-details/9fe98de1eac21f2e,295,Benoit Saint Denis,Matt Frevola
UFC 295: Prochazka vs. Pereira,Diego Lopes vs. Pat Sabatini,http://ufcstats.com/fight-details/128ab9aa4802c73f,295,Diego Lopes,Pat Sabatini
UFC 295: Prochazka vs. Pereira,Steve Erceg vs. Alessandro Costa,http://ufcstats.com/fight-details/5704e73f91b9e7f7,295,Steve Erceg,Alessandro Costa
UFC 295: Prochazka vs. Pereira,Loopy Godinez vs. Tabatha Ricci,http://ufcstats.com/fight-details/a0362d60d2e1db0d,295,Loopy Godinez,Tabatha Ricci
UFC 295: Prochazka vs. Pereira,Mateusz Rebecki vs. Roosevelt Roberts,http://ufcstats.com/fight-details/480c4dbd2e792d86,295,Mateusz Rebecki,Roosevelt Roberts
UFC 295: Prochazka vs. Pereira,Nazim Sadykhov vs. Viacheslav Borshchev,http://ufcstats.com/fight-details/83a0fff04494bfc4,295,Nazim Sadykhov,Viacheslav Borshchev
UFC 295: Prochazka vs. Pereira,Jared Gordon vs. Mark Madsen,http://ufcstats.com/fight-details/4c025d1fff9e9fce,295,Jared Gordon,Mark Madsen
UFC 295: Prochazka vs. Pereira,John Castaneda vs. Kyung Ho Kang,http://ufcstats.com/fight-details/57333b7bff20ece0,295,John Castaneda,Kyung Ho Kang
UFC 295: Prochazka vs. Pereira,Joshua Van vs. Kevin Borjas,http://ufcstats.com/fight-details/8a0fc4624578a7e4,295,Joshua Van,Kevin Borjas
UFC 295: Prochazka vs. Pereira,Jamall Emmers vs. Dennis Buzukja,http://ufcstats.com/fight-details/1cf69de0eea46877,295,Jamall Emmers,Dennis Buzukja
UFC Fight Night: Almeida vs. Lewis,Jailton Almeida vs. Derrick Lewis,http://ufcstats.com/fight-details/ac37849f627a79c4,,Jailton Almeida,Derrick Lewis
UFC Fight Night: Almeida vs. Lewis,Nicolas Dalby vs. Gabriel Bonfim,http://ufcstats.com/fight-details/3a81276a9641c6a1,,Nicolas Dalby,Gabriel Bonfim
UFC Fight Night: Almeida vs. Lewis,Rodrigo Nascimento vs. Don'Tale Mayes,http://ufcstats.com/fight-details/119bc264e2bb9877,,Rodrigo Nascimento,Don'Tale Mayes
UFC Fight Night: Almeida vs. Lewis,Caio Borralho vs. Abus Magomedov,http://ufcstats.com/fight-details/7d474fbf31894108,,Caio Borralho,Abus Magomedov
UFC Fight Night: Almeida vs. Lewis,Elves Brener vs. Kaynan Kruschewsky,http://ufcstats.com/fight-details/ff8f92cf8fb1b76c,,Elves Brener,Kaynan Kruschewsky
UFC Fight Night: Almeida vs. Lewis,Rinat Fakhretdinov vs. Elizeu Zaleski dos Santos,http://ufcstats.com/fight-details/b5ea6535748edbce,,Rinat Fakhretdinov,Elizeu Zaleski dos Santos
UFC Fight Night: Almeida vs. Lewis,Vitor Petrino vs. Modestas Bukauskas,http://ufcstats.com/fight-details/6532b71560ae39e0,,Vitor Petrino,Modestas Bukauskas
UFC Fight Night: Almeida vs. Lewis,Angela Hill vs. Denise Gomes,http://ufcstats.com/fight-details/7df5998eca143c04,,Angela Hill,Denise Gomes
UFC Fight Night: Almeida vs. Lewis,Eduarda Moura vs. Montserrat Conejo Ruiz,http://ufcstats.com/fight-details/9e2bb8d5961b44d4,,Eduarda Moura,Montserrat Conejo Ruiz
UFC Fight Night: Almeida vs. Lewis,Marc Diakiese vs. Kaue Fernandes,http://ufcstats.com/fight-details/3c69bed42893da75,,Marc Diakiese,Kaue Fernandes
UFC Fight Night: Yusuff vs. Barboza,Edson Barboza vs. Sodiq Yusuff,http://ufcstats.com/fight-details/824859c7580eb35b,,Edson Barboza,Sodiq Yusuff
UFC Fight Night: Yusuff vs. Barboza,Viviane Araujo vs. Jennifer Maia,http://ufcstats.com/fight-details/751cf3d52fce1d1f,,Viviane Araujo,Jennifer Maia
UFC Fight Night: Yusuff vs. Barboza,Jonathan Martinez vs. Adrian Yanez,http://ufcstats.com/fight-details/0d6d212fcdf47f2e,,Jonathan Martinez,Adrian Yanez
UFC Fight Night: Yusuff vs. Barboza,Michel Pereira vs. Andre Petroski,http://ufcstats.com/fight-details/6acd1c591170f597,,Michel Pereira,Andre Petroski
UFC Fight Night: Yusuff vs. Barboza,Christian Rodriguez vs. Cameron Saaiman,http://ufcstats.com/fight-details/0197a61472fc351d,,Christian Rodriguez,Cameron Saaiman
UFC Fight Night: Yusuff vs. Barboza,Darren Elkins vs. TJ Brown,http://ufcstats.com/fight-details/3a8af8ee23444b72,,Darren Elkins,TJ Brown
UFC Fight Night: Yusuff vs. Barboza,Tainara Lisboa vs. Ravena Oliveira,http://ufcstats.com/fight-details/5b7b5b01f4dcbd9c,,Tainara Lisboa,Ravena Oliveira
UFC Fight Night: Yusuff vs. Barboza,Terrance McKinney vs. Brendon Marotte,http://ufcstats.com/fight-details/7f7d2abc21f171ca,,Terrance McKinney,Brendon Marotte
UFC Fight Night: Yusuff vs. Barboza,Melissa Dixon vs. Irina Alekseeva,http://ufcstats.com/fight-details/1ba282da76ca82ad,,Melissa Dixon,Irina Alekseeva
UFC Fight Night: Yusuff vs. Barboza,Chris Gutierrez vs. Alatengheili,http://ufcstats.com/fight-details/a74a8c1e0a49070d,,Chris Gutierrez,Alatengheili
UFC Fight Night: Yusuff vs. Barboza,Emily Ducote vs. Ashley Yoder,http://ufcstats.com/fight-details/85a130a4b655c8f5,,Emily Ducote,Ashley Yoder
