EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC 202: Diaz vs. McGregor 2 ,Cody Garbrandt  vs. Takeya Mizugaki ,W/L,Bantamweight Bout,KO/TKO ,1,0:48,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/dbc72a4092a0b296,Cody Garbrandt,Takeya Mizugaki,W,L,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Raquel Pennington  vs. Elizabeth Phillips ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 27 - 30.Adalaide Byrd 27 - 30.Jeff Mullen 27 - 30.,http://ufcstats.com/fight-details/6b6680338558bd46,Raquel Pennington,Elizabeth Phillips,W,L,Tony Weeks,27 - 30,Adalaide Byrd,27 - 30,Jeff Mullen,27 - 30
UFC 202: Diaz vs. McGregor 2 ,Artem Lobov  vs. Chris Avila ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Roy Silbert 27 - 30.Dave Hagen 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/d101d2ed58a7cf84,Artem Lobov,Chris Avila,W,L,Roy Silbert,27 - 30,Dave Hagen,27 - 30,Derek Cleary,27 - 30
UFC 202: Diaz vs. McGregor 2 ,Randa Markos  vs. Cortney Casey ,L/W,Women's Strawweight Bout,Submission ,1,4:34,3 Rnd (5-5-5),Mark Smith,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/ec381753e852cb63,Randa Markos,Cortney Casey,L,W,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Neil Magny  vs. Lorenz Larkin ,L/W,Welterweight Bout,KO/TKO ,1,4:08,3 Rnd (5-5-5),Dan Miragliotta,Elbows to Head In Clinch ,http://ufcstats.com/fight-details/ec067e9c9efd7aa1,Neil Magny,Lorenz Larkin,L,W,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Colby Covington  vs. Max Griffin ,W/L,Welterweight Bout,KO/TKO ,3,2:18,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/0294253e4a5b4725,Colby Covington,Max Griffin,W,L,,,,,,
UFC 202: Diaz vs. McGregor 2 ,Alberto Uda  vs. Marvin Vettori ,L/W,Middleweight Bout,Submission ,1,4:30,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/41eb39f532e148d9,Alberto Uda,Marvin Vettori,L,W,,,,,,
UFC Fight Night: Rodriguez vs. Caceres ,Yair Rodriguez  vs. Alex Caceres ,W/L,Featherweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 49 - 46.Glenn Trowbridge 47 - 48.Tony Weeks 47 - 48.,http://ufcstats.com/fight-details/570f3407722cc512,Yair Rodriguez,Alex Caceres,W,L,Derek Cleary,49 - 46,Glenn Trowbridge,47 - 48,Tony Weeks,47 - 48
UFC Fight Night: Rodriguez vs. Caceres ,Dennis Bermudez  vs. Rony Jason ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),John McCarthy,Derek Cleary 27 - 30.Glenn Trowbridge 26 - 30.Rich Montanez 27 - 30.,http://ufcstats.com/fight-details/0344687c9852b1d2,Dennis Bermudez,Rony Jason,W,L,Derek Cleary,27 - 30,Glenn Trowbridge,26 - 30,Rich Montanez,27 - 30
UFC Fight Night: Rodriguez vs. Caceres ,Thales Leites  vs. Chris Camozzi ,W/L,Middleweight Bout,Submission ,3,2:58,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke ,http://ufcstats.com/fight-details/78410b48feaba213,Thales Leites,Chris Camozzi,W,L,,,,,,
