FIRST,LAST,NICKNAME,URL
Namsrai,Batbayar,Steppe Warrior,http://ufcstats.com/fighter-details/e1f8beeb6d2d871a
Michel,Batista,,http://ufcstats.com/fighter-details/34218661c44ed55d
Bryan,Battle,The Butcher,http://ufcstats.com/fighter-details/f626118b6da0e020
Alan,Baudot,The Black Samourai,http://ufcstats.com/fighter-details/c9a94278df042f46
Mario,Bautista,,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Chris,Beal,Real Deal,http://ufcstats.com/fighter-details/55f446032177b119
Donovan,Beard,The Highlight Reel,http://ufcstats.com/fighter-details/3a6ac598320ca7f2
Rudy,Bears,,http://ufcstats.com/fighter-details/74f13066b1417ef3
Salvador,Becerra,,http://ufcstats.com/fighter-details/4fd76e7ba8313457
Ariel,Beck,,http://ufcstats.com/fighter-details/b96939f2b8d88e82
Jack,Becker,,http://ufcstats.com/fighter-details/b5a379583673510a
Jeff,Bedard,Little Popeye,http://ufcstats.com/fighter-details/93bf96be327fcd98
Eric,Bedard,Lucky Strikes,http://ufcstats.com/fighter-details/ce05955c26c3c090
Johnny,Bedford,Brutal,http://ufcstats.com/fighter-details/ffc3e6daaa6da0b7
Rolando,Bedoya,The Machine,http://ufcstats.com/fighter-details/40a456a25d52ee65
Chase,Beebe,,http://ufcstats.com/fighter-details/b16a7e6a627e9789
Lyle,Beerbohm,Fancy Pants,http://ufcstats.com/fighter-details/babc6b5745335f18
Allan,Begosso,Mini,http://ufcstats.com/fighter-details/d6ed764f8b78d32a
Azamat,Bekoev,Iron,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a
Mirsad,Bektic,,http://ufcstats.com/fighter-details/cbd3e590a85b18c5
Diana,Belbita,The Warrior Princess,http://ufcstats.com/fighter-details/d7e40dca3ae125be
Alan,Belcher,The Talent,http://ufcstats.com/fighter-details/4130a743d9d22163
Vitor,Belfort,The Phenom,http://ufcstats.com/fighter-details/0ee783aa00e468f0
Yousri,Belgaroui,,http://ufcstats.com/fighter-details/7674b836ce0698a0
Rodolfo,Bellato,Trator,http://ufcstats.com/fighter-details/69898645d600abdb
Danilo,Belluardo,Caterpillar,http://ufcstats.com/fighter-details/c3f6db17cea09ca7
Joey,Beltran,The Mexicutioner,http://ufcstats.com/fighter-details/46baf0f57edfa4df
Marco,Beltran,Psycho,http://ufcstats.com/fighter-details/ec71a892fada28c7
Joseph,Benavidez,,http://ufcstats.com/fighter-details/80eacd4da0617c57
Mike,Bencic,Batman,http://ufcstats.com/fighter-details/a71feb7ea7592a71
Dave,Beneteau,Dangerous,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
Karla,Benitez,,http://ufcstats.com/fighter-details/6104730621ff318d
Gabriel,Benitez,Moggly,http://ufcstats.com/fighter-details/436f970c9ea9169c
Charles,Bennett,Krazy Horse,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
Josh,Bennett,,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
DeAnna,Bennett,The Argentine Assassin,http://ufcstats.com/fighter-details/404ecb2700844072
Benjamin,Bennett,Mr. Alaska,http://ufcstats.com/fighter-details/7030c27fc9778964
Lance,Benoist,,http://ufcstats.com/fighter-details/5431dccc09118234
