EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Rani Yahya vs. Tom Niinimaki,Round 2,Rani Yahya,0.0,6 of 9,66%,8 of 11,0 of 1,0%,2.0,1.0,0:22,5 of 8,0 of 0,1 of 1,3 of 6,3 of 3,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Rani Yahya vs. Tom Niinimaki,Round 3,Rani Yahya,0.0,8 of 15,53%,14 of 22,0 of 0,---,1.0,0.0,2:11,7 of 14,0 of 0,1 of 1,2 of 7,0 of 2,6 of 6
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Rani Yahya vs. Tom Niinimaki,Round 1,Tom Niinimaki,0.0,5 of 10,50%,18 of 23,1 of 1,100%,0.0,1.0,3:16,3 of 8,2 of 2,0 of 0,0 of 2,0 of 0,5 of 8
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Rani Yahya vs. Tom Niinimaki,Round 2,Tom Niinimaki,0.0,7 of 9,77%,20 of 22,2 of 3,66%,0.0,0.0,3:51,3 of 5,4 of 4,0 of 0,1 of 2,2 of 2,4 of 5
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Rani Yahya vs. Tom Niinimaki,Round 3,Tom Niinimaki,0.0,5 of 8,62%,16 of 19,1 of 2,50%,0.0,0.0,1:58,1 of 3,2 of 3,2 of 2,2 of 4,0 of 0,3 of 4
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 1,Jared Rosholt,0.0,8 of 33,24%,8 of 33,0 of 1,0%,0.0,0.0,0:00,4 of 27,2 of 3,2 of 3,8 of 33,0 of 0,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 2,Jared Rosholt,0.0,17 of 52,32%,17 of 52,0 of 0,---,0.0,0.0,0:00,11 of 44,5 of 7,1 of 1,17 of 51,0 of 1,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 3,Jared Rosholt,0.0,8 of 20,40%,48 of 65,1 of 1,100%,0.0,0.0,3:47,8 of 18,0 of 2,0 of 0,0 of 4,0 of 0,8 of 16
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 1,Walt Harris,2.0,10 of 29,34%,11 of 30,0 of 0,---,0.0,0.0,0:04,4 of 22,6 of 7,0 of 0,10 of 29,0 of 0,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 2,Walt Harris,0.0,8 of 40,20%,8 of 40,0 of 1,0%,0.0,0.0,0:00,4 of 30,4 of 10,0 of 0,8 of 40,0 of 0,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Jared Rosholt vs. Walt Harris,Round 3,Walt Harris,0.0,0 of 2,0%,0 of 2,0 of 0,---,0.0,0.0,0:00,0 of 1,0 of 1,0 of 0,0 of 2,0 of 0,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 1,Sean Spencer,0.0,28 of 80,35%,29 of 81,0 of 0,---,0.0,0.0,0:00,21 of 66,5 of 11,2 of 3,25 of 74,3 of 6,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 2,Sean Spencer,0.0,30 of 78,38%,32 of 80,0 of 0,---,0.0,0.0,0:20,16 of 64,8 of 8,6 of 6,22 of 62,8 of 16,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 3,Sean Spencer,0.0,47 of 112,41%,48 of 113,0 of 1,0%,0.0,0.0,0:32,33 of 96,13 of 15,1 of 1,34 of 96,13 of 16,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 1,Drew Dober,0.0,25 of 78,32%,27 of 82,0 of 3,0%,0.0,0.0,1:27,16 of 63,2 of 8,7 of 7,17 of 63,8 of 15,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 2,Drew Dober,0.0,16 of 70,22%,20 of 75,0 of 2,0%,0.0,0.0,1:00,7 of 57,4 of 7,5 of 6,11 of 59,5 of 11,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Sean Spencer vs. Drew Dober,Round 3,Drew Dober,0.0,20 of 78,25%,20 of 79,0 of 6,0%,0.0,0.0,0:37,11 of 67,7 of 9,2 of 2,15 of 72,5 of 6,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Josh Sampo vs. Ryan Benoit,Round 1,Josh Sampo,0.0,22 of 47,46%,37 of 63,1 of 1,100%,0.0,0.0,1:22,14 of 35,6 of 10,2 of 2,19 of 41,1 of 1,2 of 5
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Josh Sampo vs. Ryan Benoit,Round 2,Josh Sampo,0.0,6 of 17,35%,28 of 40,1 of 1,100%,5.0,1.0,2:49,6 of 15,0 of 1,0 of 1,1 of 8,0 of 0,5 of 9
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Josh Sampo vs. Ryan Benoit,Round 1,Ryan Benoit,0.0,13 of 48,27%,13 of 48,0 of 0,---,0.0,1.0,1:00,11 of 40,0 of 3,2 of 5,13 of 48,0 of 0,0 of 0
The Ultimate Fighter: Team Rousey vs. Team Tate Finale,Josh Sampo vs. Ryan Benoit,Round 2,Ryan Benoit,0.0,5 of 15,33%,11 of 21,0 of 0,---,1.0,1.0,1:20,4 of 14,1 of 1,0 of 0,3 of 11,0 of 0,2 of 4
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 1,Georges St-Pierre,0.0,19 of 38,50%,26 of 45,1 of 2,50%,1.0,0.0,0:34,3 of 16,11 of 17,5 of 5,9 of 26,10 of 12,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 2,Georges St-Pierre,0.0,28 of 67,41%,30 of 69,0 of 0,---,0.0,0.0,0:00,19 of 46,2 of 9,7 of 12,27 of 65,1 of 2,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 3,Georges St-Pierre,0.0,31 of 64,48%,32 of 65,0 of 0,---,0.0,0.0,0:00,16 of 43,5 of 11,10 of 10,30 of 63,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 4,Georges St-Pierre,0.0,14 of 26,53%,24 of 36,0 of 0,---,0.0,0.0,0:24,5 of 15,3 of 5,6 of 6,13 of 25,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 5,Georges St-Pierre,0.0,9 of 26,34%,13 of 30,2 of 4,50%,0.0,0.0,1:54,4 of 16,5 of 9,0 of 1,5 of 21,3 of 4,1 of 1
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 1,Johny Hendricks,0.0,18 of 27,66%,27 of 36,1 of 1,100%,0.0,0.0,0:59,8 of 17,1 of 1,9 of 9,4 of 12,14 of 15,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 2,Johny Hendricks,0.0,30 of 72,41%,37 of 79,0 of 0,---,0.0,0.0,0:37,21 of 59,0 of 2,9 of 11,19 of 56,11 of 16,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 3,Johny Hendricks,0.0,15 of 50,30%,22 of 57,1 of 2,50%,0.0,0.0,0:38,13 of 45,2 of 5,0 of 0,15 of 50,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 4,Johny Hendricks,0.0,18 of 35,51%,41 of 59,0 of 1,0%,0.0,0.0,2:07,14 of 31,0 of 0,4 of 4,11 of 27,3 of 4,4 of 4
UFC 167: St-Pierre vs Hendricks,Georges St-Pierre vs. Johny Hendricks,Round 5,Johny Hendricks,0.0,4 of 10,40%,15 of 21,0 of 0,---,0.0,0.0,1:06,2 of 7,1 of 1,1 of 2,3 of 8,1 of 2,0 of 0
UFC 167: St-Pierre vs Hendricks,Rashad Evans vs. Chael Sonnen,Round 1,Rashad Evans,0.0,20 of 28,71%,32 of 42,1 of 2,50%,0.0,0.0,3:14,19 of 27,1 of 1,0 of 0,1 of 2,2 of 2,17 of 24
UFC 167: St-Pierre vs Hendricks,Rashad Evans vs. Chael Sonnen,Round 1,Chael Sonnen,0.0,3 of 14,21%,15 of 26,0 of 1,0%,0.0,0.0,0:35,2 of 11,1 of 2,0 of 1,1 of 7,2 of 7,0 of 0
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 1,Rory MacDonald,0.0,7 of 34,20%,7 of 34,0 of 0,---,0.0,0.0,0:00,3 of 22,4 of 12,0 of 0,7 of 33,0 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 2,Rory MacDonald,0.0,17 of 42,40%,18 of 43,1 of 2,50%,0.0,0.0,2:01,8 of 28,8 of 13,1 of 1,13 of 33,1 of 1,3 of 8
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 3,Rory MacDonald,0.0,13 of 31,41%,16 of 34,3 of 4,75%,1.0,0.0,1:04,10 of 26,3 of 5,0 of 0,8 of 18,0 of 1,5 of 12
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 1,Robbie Lawler,0.0,14 of 33,42%,15 of 34,0 of 0,---,0.0,0.0,0:00,3 of 16,3 of 6,8 of 11,12 of 29,2 of 4,0 of 0
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 2,Robbie Lawler,0.0,8 of 20,40%,16 of 29,0 of 0,---,0.0,0.0,0:00,3 of 14,2 of 2,3 of 4,8 of 19,0 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Rory MacDonald vs. Robbie Lawler,Round 3,Robbie Lawler,1.0,22 of 49,44%,34 of 63,0 of 0,---,0.0,1.0,2:22,19 of 45,0 of 1,3 of 3,12 of 29,1 of 2,9 of 18
UFC 167: St-Pierre vs Hendricks,Josh Koscheck vs. Tyron Woodley,Round 1,Josh Koscheck,0.0,5 of 15,33%,7 of 17,0 of 0,---,0.0,0.0,1:00,1 of 11,2 of 2,2 of 2,2 of 12,3 of 3,0 of 0
UFC 167: St-Pierre vs Hendricks,Josh Koscheck vs. Tyron Woodley,Round 1,Tyron Woodley,2.0,22 of 34,64%,47 of 59,0 of 0,---,0.0,0.0,1:30,18 of 29,2 of 3,2 of 2,11 of 17,4 of 4,7 of 13
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 1,Tim Elliott,0.0,9 of 39,23%,9 of 39,0 of 1,0%,0.0,0.0,0:00,4 of 29,1 of 4,4 of 6,7 of 37,2 of 2,0 of 0
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 2,Tim Elliott,0.0,13 of 42,30%,37 of 72,1 of 2,50%,1.0,0.0,1:04,6 of 33,3 of 5,4 of 4,11 of 38,0 of 0,2 of 4
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 3,Tim Elliott,0.0,26 of 77,33%,26 of 77,1 of 1,100%,0.0,0.0,0:02,18 of 65,1 of 2,7 of 10,23 of 72,3 of 5,0 of 0
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 1,Ali Bagautinov,0.0,13 of 38,34%,13 of 38,1 of 1,100%,0.0,0.0,0:09,9 of 34,4 of 4,0 of 0,9 of 28,4 of 10,0 of 0
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 2,Ali Bagautinov,0.0,12 of 37,32%,12 of 37,0 of 1,0%,0.0,0.0,0:25,9 of 34,1 of 1,2 of 2,11 of 35,0 of 0,1 of 2
UFC 167: St-Pierre vs Hendricks,Tim Elliott vs. Ali Bagautinov,Round 3,Ali Bagautinov,0.0,18 of 75,24%,18 of 75,0 of 2,0%,0.0,0.0,0:00,16 of 70,2 of 5,0 of 0,18 of 75,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Donald Cerrone vs. Evan Dunham,Round 1,Donald Cerrone,1.0,22 of 44,50%,23 of 45,0 of 0,---,0.0,1.0,1:26,14 of 33,5 of 6,3 of 5,9 of 21,4 of 9,9 of 14
UFC 167: St-Pierre vs Hendricks,Donald Cerrone vs. Evan Dunham,Round 2,Donald Cerrone,0.0,10 of 23,43%,11 of 24,1 of 2,50%,1.0,0.0,0:53,5 of 14,4 of 6,1 of 3,7 of 17,3 of 6,0 of 0
UFC 167: St-Pierre vs Hendricks,Donald Cerrone vs. Evan Dunham,Round 1,Evan Dunham,0.0,14 of 35,40%,18 of 39,0 of 2,0%,0.0,1.0,1:12,4 of 24,5 of 6,5 of 5,8 of 26,6 of 9,0 of 0
UFC 167: St-Pierre vs Hendricks,Donald Cerrone vs. Evan Dunham,Round 2,Evan Dunham,0.0,10 of 37,27%,11 of 38,0 of 2,0%,0.0,0.0,0:18,8 of 35,1 of 1,1 of 1,7 of 33,3 of 4,0 of 0
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 1,Ed Herman,0.0,3 of 5,60%,9 of 11,0 of 0,---,0.0,0.0,0:00,2 of 4,0 of 0,1 of 1,1 of 2,2 of 3,0 of 0
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 2,Ed Herman,0.0,4 of 10,40%,23 of 31,0 of 0,---,0.0,0.0,0:36,3 of 9,0 of 0,1 of 1,2 of 7,1 of 1,1 of 2
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 3,Ed Herman,0.0,7 of 22,31%,19 of 34,0 of 0,---,0.0,0.0,0:39,4 of 18,2 of 3,1 of 1,2 of 12,4 of 9,1 of 1
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 1,Thales Leites,0.0,8 of 16,50%,23 of 32,1 of 2,50%,0.0,0.0,4:33,8 of 15,0 of 1,0 of 0,0 of 2,1 of 3,7 of 11
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 2,Thales Leites,0.0,5 of 10,50%,8 of 16,1 of 3,33%,0.0,0.0,3:57,5 of 10,0 of 0,0 of 0,3 of 6,0 of 0,2 of 4
UFC 167: St-Pierre vs Hendricks,Ed Herman vs. Thales Leites,Round 3,Thales Leites,0.0,7 of 9,77%,16 of 18,1 of 3,33%,0.0,0.0,2:56,6 of 8,1 of 1,0 of 0,5 of 6,1 of 1,1 of 2
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 1,Brian Ebersole,0.0,16 of 44,36%,16 of 44,0 of 3,0%,0.0,0.0,0:00,11 of 31,1 of 6,4 of 7,16 of 44,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 2,Brian Ebersole,0.0,13 of 37,35%,13 of 37,0 of 2,0%,0.0,0.0,0:18,8 of 29,3 of 4,2 of 4,11 of 32,2 of 5,0 of 0
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 3,Brian Ebersole,0.0,13 of 33,39%,13 of 33,0 of 2,0%,0.0,0.0,0:07,10 of 27,2 of 4,1 of 2,11 of 31,2 of 2,0 of 0
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 1,Rick Story,0.0,30 of 80,37%,30 of 80,0 of 0,---,0.0,0.0,0:00,18 of 58,8 of 18,4 of 4,30 of 80,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 2,Rick Story,0.0,15 of 58,25%,15 of 58,1 of 1,100%,0.0,0.0,0:19,7 of 46,5 of 9,3 of 3,13 of 45,2 of 13,0 of 0
UFC 167: St-Pierre vs Hendricks,Brian Ebersole vs. Rick Story,Round 3,Rick Story,1.0,26 of 61,42%,30 of 65,1 of 1,100%,0.0,0.0,0:44,14 of 45,8 of 12,4 of 4,19 of 53,0 of 0,7 of 8
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 1,Erik Perez,0.0,16 of 40,40%,35 of 59,3 of 3,100%,0.0,0.0,2:35,6 of 25,2 of 4,8 of 11,11 of 29,2 of 7,3 of 4
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 2,Erik Perez,1.0,20 of 32,62%,39 of 51,2 of 3,66%,0.0,0.0,3:31,14 of 24,5 of 7,1 of 1,11 of 21,2 of 2,7 of 9
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 3,Erik Perez,0.0,14 of 36,38%,46 of 68,2 of 2,100%,0.0,0.0,2:28,5 of 21,6 of 11,3 of 4,7 of 26,3 of 5,4 of 5
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 1,Edwin Figueroa,0.0,7 of 26,26%,9 of 28,0 of 0,---,0.0,0.0,0:00,5 of 23,2 of 2,0 of 1,7 of 24,0 of 2,0 of 0
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 2,Edwin Figueroa,0.0,8 of 30,26%,8 of 30,0 of 0,---,0.0,0.0,0:00,6 of 25,2 of 4,0 of 1,8 of 30,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Erik Perez vs. Edwin Figueroa,Round 3,Edwin Figueroa,0.0,3 of 29,10%,4 of 30,0 of 0,---,0.0,0.0,0:00,2 of 26,1 of 3,0 of 0,3 of 26,0 of 3,0 of 0
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 1,Jason High,0.0,2 of 5,40%,19 of 23,3 of 3,100%,2.0,0.0,4:38,0 of 3,2 of 2,0 of 0,0 of 0,1 of 2,1 of 3
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 2,Jason High,0.0,0 of 1,0%,3 of 5,0 of 1,0%,1.0,0.0,1:13,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 3,Jason High,0.0,3 of 6,50%,19 of 26,1 of 1,100%,1.0,0.0,2:41,3 of 6,0 of 0,0 of 0,3 of 6,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 1,Anthony Lapsley,0.0,0 of 4,0%,0 of 4,0 of 0,---,0.0,0.0,0:12,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 2,Anthony Lapsley,0.0,4 of 8,50%,39 of 45,0 of 0,---,0.0,1.0,3:19,2 of 6,1 of 1,1 of 1,0 of 4,0 of 0,4 of 4
UFC 167: St-Pierre vs Hendricks,Jason High vs. Anthony Lapsley,Round 3,Anthony Lapsley,0.0,4 of 7,57%,33 of 36,0 of 0,---,0.0,0.0,1:47,4 of 7,0 of 0,0 of 0,3 of 6,0 of 0,1 of 1
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 1,Will Campuzano,0.0,11 of 28,39%,17 of 35,3 of 4,75%,0.0,0.0,1:28,9 of 26,2 of 2,0 of 0,10 of 25,0 of 0,1 of 3
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 2,Will Campuzano,0.0,20 of 37,54%,26 of 44,0 of 1,0%,0.0,1.0,1:33,9 of 24,9 of 11,2 of 2,16 of 31,1 of 1,3 of 5
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 3,Will Campuzano,0.0,10 of 27,37%,32 of 52,1 of 3,33%,0.0,0.0,2:29,5 of 22,4 of 4,1 of 1,9 of 26,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 1,Sergio Pettis,0.0,38 of 54,70%,39 of 55,0 of 1,0%,1.0,0.0,0:05,23 of 39,5 of 5,10 of 10,35 of 50,2 of 3,1 of 1
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 2,Sergio Pettis,0.0,26 of 39,66%,29 of 43,1 of 1,100%,1.0,1.0,1:21,19 of 31,4 of 5,3 of 3,25 of 38,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Will Campuzano vs. Sergio Pettis,Round 3,Sergio Pettis,0.0,17 of 28,60%,25 of 37,1 of 2,50%,1.0,0.0,0:36,12 of 22,4 of 5,1 of 1,16 of 27,0 of 0,1 of 1
UFC 167: St-Pierre vs Hendricks,Cody Donovan vs. Gian Villante,Round 1,Cody Donovan,0.0,38 of 70,54%,41 of 73,0 of 0,---,0.0,0.0,0:02,27 of 58,10 of 11,1 of 1,34 of 65,4 of 5,0 of 0
UFC 167: St-Pierre vs Hendricks,Cody Donovan vs. Gian Villante,Round 2,Cody Donovan,0.0,13 of 20,65%,14 of 21,0 of 1,0%,0.0,0.0,0:14,9 of 16,3 of 3,1 of 1,12 of 19,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Cody Donovan vs. Gian Villante,Round 1,Gian Villante,0.0,27 of 54,50%,39 of 67,1 of 1,100%,0.0,0.0,0:50,20 of 45,3 of 4,4 of 5,26 of 53,1 of 1,0 of 0
UFC 167: St-Pierre vs Hendricks,Cody Donovan vs. Gian Villante,Round 2,Gian Villante,1.0,16 of 28,57%,18 of 30,0 of 0,---,0.0,0.0,0:04,13 of 24,2 of 3,1 of 1,12 of 24,0 of 0,4 of 4
UFC Fight Night: Belfort vs Henderson 2,Vitor Belfort vs. Dan Henderson,Round 1,Vitor Belfort,2.0,12 of 17,70%,13 of 18,0 of 0,---,0.0,0.0,0:12,12 of 17,0 of 0,0 of 0,1 of 1,2 of 2,9 of 14
UFC Fight Night: Belfort vs Henderson 2,Vitor Belfort vs. Dan Henderson,Round 1,Dan Henderson,0.0,1 of 2,50%,1 of 2,0 of 0,---,0.0,0.0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 1,Cezar Ferreira,0.0,10 of 28,35%,13 of 32,0 of 1,0%,0.0,0.0,1:21,6 of 21,2 of 5,2 of 2,9 of 26,1 of 2,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 2,Cezar Ferreira,0.0,2 of 11,18%,11 of 21,1 of 1,100%,0.0,0.0,3:13,2 of 10,0 of 1,0 of 0,2 of 11,0 of 0,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 3,Cezar Ferreira,0.0,3 of 8,37%,32 of 46,2 of 2,100%,0.0,0.0,3:51,2 of 7,1 of 1,0 of 0,3 of 7,0 of 1,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 1,Daniel Sarafian,0.0,8 of 20,40%,9 of 21,0 of 3,0%,0.0,0.0,1:20,5 of 16,2 of 3,1 of 1,8 of 20,0 of 0,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 2,Daniel Sarafian,0.0,10 of 15,66%,16 of 21,0 of 1,0%,0.0,0.0,0:26,3 of 8,0 of 0,7 of 7,10 of 14,0 of 1,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Cezar Ferreira vs. Daniel Sarafian,Round 3,Daniel Sarafian,0.0,3 of 9,33%,6 of 12,0 of 1,0%,0.0,0.0,0:13,3 of 8,0 of 0,0 of 1,1 of 5,2 of 4,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Rafael Cavalcante vs. Igor Pokrajac,Round 1,Rafael Cavalcante,1.0,16 of 21,76%,18 of 23,0 of 0,---,0.0,0.0,0:03,11 of 16,3 of 3,2 of 2,3 of 7,11 of 12,2 of 2
UFC Fight Night: Belfort vs Henderson 2,Rafael Cavalcante vs. Igor Pokrajac,Round 1,Igor Pokrajac,0.0,9 of 16,56%,11 of 18,0 of 1,0%,0.0,0.0,0:50,6 of 11,0 of 0,3 of 5,4 of 9,5 of 7,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Paulo Thiago vs. Brandon Thatch,Round 1,Paulo Thiago,0.0,5 of 13,38%,6 of 16,1 of 2,50%,0.0,0.0,0:23,4 of 12,1 of 1,0 of 0,1 of 8,4 of 5,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Paulo Thiago vs. Brandon Thatch,Round 1,Brandon Thatch,1.0,12 of 28,42%,13 of 30,0 of 0,---,0.0,0.0,0:27,7 of 20,5 of 6,0 of 2,7 of 18,3 of 8,2 of 2
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 1,Santiago Ponzinibbio,0.0,3 of 12,25%,6 of 16,0 of 0,---,0.0,0.0,0:17,0 of 9,2 of 2,1 of 1,3 of 10,0 of 0,0 of 2
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 2,Santiago Ponzinibbio,0.0,16 of 48,33%,19 of 52,0 of 0,---,0.0,0.0,0:00,13 of 37,1 of 7,2 of 4,16 of 48,0 of 0,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 3,Santiago Ponzinibbio,1.0,6 of 21,28%,7 of 24,0 of 0,---,0.0,0.0,0:14,2 of 15,2 of 4,2 of 2,5 of 19,1 of 1,0 of 1
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 1,Ryan LaFlare,0.0,12 of 30,40%,15 of 34,2 of 3,66%,0.0,1.0,3:02,9 of 25,1 of 1,2 of 4,4 of 14,3 of 4,5 of 12
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 2,Ryan LaFlare,0.0,21 of 66,31%,39 of 87,2 of 6,33%,0.0,0.0,1:27,11 of 50,6 of 11,4 of 5,19 of 64,1 of 1,1 of 1
UFC Fight Night: Belfort vs Henderson 2,Santiago Ponzinibbio vs. Ryan LaFlare,Round 3,Ryan LaFlare,1.0,42 of 74,56%,55 of 90,1 of 1,100%,0.0,1.0,2:45,25 of 51,13 of 18,4 of 5,11 of 31,5 of 7,26 of 36
UFC Fight Night: Belfort vs Henderson 2,Rony Jason vs. Jeremy Stephens,Round 1,Rony Jason,0.0,1 of 5,20%,1 of 5,0 of 0,---,0.0,0.0,0:00,1 of 4,0 of 1,0 of 0,1 of 5,0 of 0,0 of 0
UFC Fight Night: Belfort vs Henderson 2,Rony Jason vs. Jeremy Stephens,Round 1,Jeremy Stephens,1.0,3 of 3,100%,3 of 3,0 of 0,---,0.0,0.0,0:02,3 of 3,0 of 0,0 of 0,2 of 2,0 of 0,1 of 1
UFC Fight Night: Belfort vs Henderson 2,Godofredo Pepey vs. Sam Sicilia,Round 1,Godofredo Pepey,0.0,3 of 5,60%,4 of 6,0 of 2,0%,0.0,0.0,0:11,3 of 5,0 of 0,0 of 0,1 of 3,2 of 2,0 of 0
