EVENT,URL,DATE,LOCATION
UFC Fight Night: Lewis vs. Daukaus,http://ufcstats.com/event-details/2a470ad41c22c25a,"December 18, 2021","Las Vegas, Nevada, USA"
UFC 269: Oliveira vs. Poirier,http://ufcstats.com/event-details/ef927e4fe2117ab8,"December 11, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Aldo,http://ufcstats.com/event-details/509697e08673d2e5,"December 04, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Vieira vs. Tate,http://ufcstats.com/event-details/c95fbc085e17a532,"November 20, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs. Rodriguez,http://ufcstats.com/event-details/b5abaa65f87938eb,"November 13, 2021","Las Vegas, Nevada, USA"
UFC 268: Usman vs. Covington 2,http://ufcstats.com/event-details/48e093ea1f43a053,"November 06, 2021","New York City, New York, USA"
UFC 267: Blachowicz vs. Teixeira,http://ufcstats.com/event-details/3974fa35c917af1d,"October 30, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Costa vs. Vettori,http://ufcstats.com/event-details/8a9c6c4301f6d088,"October 23, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Ladd vs. Dumont,http://ufcstats.com/event-details/8f4616698508f24d,"October 16, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Rodriguez,http://ufcstats.com/event-details/d247691a6c0e9034,"October 09, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Santos vs. Walker,http://ufcstats.com/event-details/e15d0a2519d6a0b5,"October 02, 2021","Las Vegas, Nevada, USA"
UFC 266: Volkanovski vs. Ortega,http://ufcstats.com/event-details/0eec866a077889f0,"September 25, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Spann,http://ufcstats.com/event-details/4c27ca8c8481f79a,"September 18, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Till,http://ufcstats.com/event-details/b9532d815060de7f,"September 04, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Barboza vs. Chikadze,http://ufcstats.com/event-details/0db9d2486d564a3c,"August 28, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Gastelum,http://ufcstats.com/event-details/2f13e4020cea5b38,"August 21, 2021","Las Vegas, Nevada, USA"
UFC 265: Lewis vs. Gane,http://ufcstats.com/event-details/972197a8c61ac413,"August 07, 2021","Houston, Texas, USA"
UFC Fight Night: Hall vs. Strickland,http://ufcstats.com/event-details/320edfb0332b7073,"July 31, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Dillashaw,http://ufcstats.com/event-details/e57f0b06ea39e360,"July 24, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Makhachev vs. Moises,http://ufcstats.com/event-details/40389d39a92f5bfa,"July 17, 2021","Las Vegas, Nevada, USA"
UFC 264: Poirier vs. McGregor 3,http://ufcstats.com/event-details/8a0be41c0380188d,"July 10, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Gane vs. Volkov,http://ufcstats.com/event-details/a1d6b308781aa2f5,"June 26, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Jung vs. Ige,http://ufcstats.com/event-details/9ddfb3369a3b0394,"June 19, 2021","Las Vegas, Nevada, USA"
UFC 263: Adesanya vs. Vettori 2,http://ufcstats.com/event-details/0b64d0fed453ef7f,"June 12, 2021","Glendale, Arizona, USA"
UFC Fight Night: Rozenstruik vs. Sakai,http://ufcstats.com/event-details/3b2485c8d5c8b580,"June 05, 2021","Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Garbrandt,http://ufcstats.com/event-details/277ffed20cf07aea,"May 22, 2021","Las Vegas, Nevada, USA"
